id,company_name,website_url,headquarters_location,facility_size_sqft,certifications_held,primary_business_type,materials_handled,contact_email,contact_phone,key_personnel,year_established,thomasnet_profile_url,data_source,last_updated
54,Jti Companies INC,,"Birmingham, AL",,[],,[],,,[],,https://www.thomasnet.com/company/jti-companies-inc-10070455/profile,Thomasnet:asme-code-pressure-vessels:alabama,2026-06-17 03:48:40
55,Normco INC,,"Prichard, AL",,[],,[],,,[],,https://www.thomasnet.com/company/normco-inc-888648/profile,Thomasnet:asme-code-pressure-vessels:alabama,2026-06-17 03:48:40
56,"Hubbell, Inc.",,"West Chester, PA",,[],,[],,,[],,https://www.thomasnet.com/company/hubbell-inc-1092735/profile,Thomasnet:asme-code-pressure-vessels:connecticut,2026-06-17 03:43:22
57,E & C Chemicals Inc.,,"Carrollton, GA",,[],,[],,,[],,https://www.thomasnet.com/company/e-c-chemicals-inc-912491/profile,Thomasnet:frp-tanks:georgia,2026-06-17 03:44:12
58,Fastenal,,"East Hartford, CT",,[],,[],,,[],,https://www.thomasnet.com/company/fastenal-10061000/profile,Thomasnet:frp-tanks:connecticut,2026-06-17 03:44:06
59,"Harcros Chemicals, Inc.",,"Tampa, FL",,[],,[],,,[],,https://www.thomasnet.com/company/harcros-chemicals-inc-398509/profile,Thomasnet:frp-tanks:florida,2026-06-17 03:44:19
60,Research Products Corp,,"Theodore, AL",,[],,[],,,[],,https://www.thomasnet.com/company/research-products-corp-878150/profile,Thomasnet:frp-tanks:alabama,2026-06-17 03:48:40
61,Applied Industrial Technologies,,"Tampa, FL",,[],,[],,,[],,https://www.thomasnet.com/company/applied-industrial-technologies-1275404/profile,Thomasnet:frp-tanks:florida,2026-06-17 03:44:19
62,Kemper Industries,,"Daphne, AL",,[],,[],,,[],,https://www.thomasnet.com/company/kemper-industries-884892/profile,Thomasnet:frp-tanks:alabama,2026-06-17 03:48:40
63,Gaylord Chemical,,"Birmingham, AL",,[],,[],,,[],,https://www.thomasnet.com/company/k-chem-inc-20037410/profile,Thomasnet:frp-tanks:alabama,2026-06-17 03:48:40
65,Univar Solutions Inc.,,"Tampa, FL",,[],,[],,,[],,https://www.thomasnet.com/company/univar-solutions-inc-30771176/profile,Thomasnet:frp-tanks:florida,2026-06-17 03:44:19
66,BASF Corporation,,"Huntsville, AL",,[],,[],,,[],,https://www.thomasnet.com/company/basf-corporation-169617/profile,Thomasnet:frp-tanks:alabama,2026-06-17 03:48:40
67,Research Solutions Group INC,,"Pelham, AL",,[],,[],,,[],,https://www.thomasnet.com/company/research-solutions-group-inc-30728875/profile,Thomasnet:frp-tanks:alabama,2026-06-17 03:48:40
68,Ati,,"East Hartford, CT",,[],,[],,,[],,https://www.thomasnet.com/company/ati-10038081/profile,Thomasnet:frp-tanks:connecticut,2026-06-17 03:44:06
69,U S Amines Limited,,"Axis, AL",,[],,[],,,[],,https://www.thomasnet.com/company/u-s-amines-limited-30167673/profile,Thomasnet:frp-tanks:alabama,2026-06-17 03:48:40
70,Airgas,,"Melbourne, FL",,[],,[],,,[],,https://www.thomasnet.com/company/airgas-1092912/profile,Thomasnet:frp-tanks:florida,2026-06-17 03:44:19
71,Ineos Phenol,,"Theodore, AL",,[],,[],,,[],,https://www.thomasnet.com/company/ineos-phenol-30116730/profile,Thomasnet:frp-tanks:alabama,2026-06-17 03:48:40
72,"Drummond, Ltd",,"Gadsden, AL",,[],,[],,,[],,https://www.thomasnet.com/company/etowah-chemical-sales-service-co-937829/profile,Thomasnet:frp-tanks:alabama,2026-06-17 03:48:40
74,Laysan Bio INC,,"Arab, AL",,[],,[],,,[],,https://www.thomasnet.com/company/laysan-bio-inc-30736850/profile,Thomasnet:frp-tanks:alabama,2026-06-17 03:48:40
75,Industrial Chemicals INC,,"Vestavia Hills, AL",,[],,[],,,[],,https://www.thomasnet.com/company/industrial-chemicals-inc-879685/profile,Thomasnet:frp-tanks:alabama,2026-06-17 03:48:40
76,Stutton Corporation,,"Lincoln, AL",,[],,[],,,[],,https://www.thomasnet.com/company/stutton-corporation-1201292/profile,Thomasnet:frp-tanks:alabama,2026-06-17 03:48:40
77,Umicore Technical Materials - Contact Materials Business Unit,,"Arab, AL",,[],,[],,,[],,https://www.thomasnet.com/company/umicore-technical-materials-contact-materials-business-unit-20070389/profile,Thomasnet:frp-tanks:alabama,2026-06-17 03:48:40
78,Johnstone Supply,,"New Castle, DE",,[],,[],,,[],,https://www.thomasnet.com/company/johnstone-supply-1315321/profile,Thomasnet:frp-tanks:delaware,2026-06-17 03:44:02
79,"INVENTURE RENEWABLES, INC.",,"Tuscaloosa, AL",,[],,[],,,[],,https://www.thomasnet.com/company/inventure-renewables-inc-30827841/profile,Thomasnet:frp-tanks:alabama,2026-06-17 03:48:40
80,Sure Chemical INC,,"Springville, AL",,[],,[],,,[],,https://www.thomasnet.com/company/sure-chemical-inc-30754704/profile,Thomasnet:frp-tanks:alabama,2026-06-17 03:48:40
81,Grainger Industrial Supply,,"Birmingham, AL",,[],,[],,,[],,https://www.thomasnet.com/company/grainger-industrial-supply-1301046/profile,Thomasnet:frp-tanks:alabama,2026-06-17 03:48:40
82,Taricco Corporation,,"Long Beach, CA",,[],,[],,,[],,https://www.thomasnet.com/company/taricco-corporation-10056179/profile,Thomasnet:asme-code-pressure-vessels:arizona,2026-06-17 03:48:40
83,Tru-Stop Inc.,,"Tempe, AZ",,[],,[],,,[],,https://www.thomasnet.com/company/tru-stop-inc-30167601/profile,Thomasnet:asme-code-pressure-vessels:arizona,2026-06-17 03:48:40
84,Matrix Service Co.,,"Tucson, AZ",,[],,[],,,[],,https://www.thomasnet.com/company/matrix-service-co-1139234/profile,Thomasnet:asme-code-pressure-vessels:arizona,2026-06-17 03:48:40
85,MMI Tank & Industrial Services,,"Phoenix, AZ",,[],,[],,,[],,https://www.thomasnet.com/company/mmi-tank-industrial-services-30846975/profile,Thomasnet:asme-code-pressure-vessels:arizona,2026-06-17 03:48:40
86,Samuel Pressure Vessel Group Inc.,,"Tucson, AZ",,[],,[],,,[],,https://www.thomasnet.com/company/samuel-pressure-vessel-group-inc-10036624/profile,Thomasnet:asme-code-pressure-vessels:arizona,2026-06-17 03:48:40
87,Company Overview,,"Forestville, CT",,[],,[],,,[],,https://www.thomasnet.com/company/eb-buffing-inc-30259514/profile,Thomasnet:stainless-steel-tanks:connecticut,2026-06-17 03:43:50
88,"Entegris, Inc.",,"Gainesville, FL",,[],,[],,,[],,https://www.thomasnet.com/company/entegris-inc-10014935/profile,Thomasnet:asme-code-pressure-vessels:florida,2026-06-17 03:43:30
89,"Xylem, Inc.",,"Sanford, FL",,[],,[],,,[],,https://www.thomasnet.com/company/xylem-inc-30728450/profile,Thomasnet:asme-code-pressure-vessels:florida,2026-06-17 03:43:30
90,"Manufacturers Distributor, Inc.",,"Odessa, FL",,[],,[],,,[],,https://www.thomasnet.com/company/manufacturers-distributor-inc-20103174/profile,Thomasnet:asme-code-pressure-vessels:florida,2026-06-17 03:43:30
91,Prevco Subsea LLC,,"Fountain Hills, AZ",,[],,[],,,[],,https://www.thomasnet.com/company/prevco-subsea-llc-10077830/profile,Thomasnet:asme-code-pressure-vessels:arizona,2026-06-17 03:48:40
92,Puretec Industrial Water,,"Gilbert, AZ",,[],,[],,,[],,https://www.thomasnet.com/company/puretec-industrial-water-315045/profile,Thomasnet:asme-code-pressure-vessels:arizona,2026-06-17 03:48:40
93,Vic S Welding CO LLC,,"El Mirage, AZ",,[],,[],,,[],,https://www.thomasnet.com/company/vic-s-welding-co-llc-30823698/profile,Thomasnet:asme-code-pressure-vessels:arizona,2026-06-17 03:48:40
94,Axian Technology,,"Phoenix, AZ",,[],,[],,,[],,https://www.thomasnet.com/company/axian-technology-707797/profile,Thomasnet:stainless-steel-tanks:arizona,2026-06-17 03:48:40
95,Commercial Electro Plating Inc.,,"Fresno, CA",,[],,[],,,[],,https://www.thomasnet.com/company/commercial-electro-plating-inc-496705/profile,Thomasnet:stainless-steel-tanks:arizona,2026-06-17 03:48:40
96,Wal-Tek Industries Inc,,"Phoenix, AZ",,[],,[],,,[],,https://www.thomasnet.com/company/wal-tek-industries-inc-30954178/profile,Thomasnet:stainless-steel-tanks:arizona,2026-06-17 03:48:40
97,Gold Tech Industries,,"Tempe, AZ",,[],,[],,,[],,https://www.thomasnet.com/company/gold-tech-industries-708410/profile,Thomasnet:stainless-steel-tanks:arizona,2026-06-17 03:48:40
98,Completely Custom Coatings LLC,,"Prescott Valley, AZ",,[],,[],,,[],,https://www.thomasnet.com/company/completely-custom-coatings-llc-30982945/profile,Thomasnet:stainless-steel-tanks:colorado,2026-06-17 03:43:52
99,"Curbell Plastics, Inc.",,"Lithia Springs, GA",,[],,[],,,[],,https://www.thomasnet.com/company/curbell-plastics-inc-1053117/profile,Thomasnet:stainless-steel-tanks:georgia,2026-06-17 03:43:54
100,Js Metal Polish Blasting,,"Lake Havasu City, AZ",,[],,[],,,[],,https://www.thomasnet.com/company/js-metal-polish-blasting-1168991/profile,Thomasnet:stainless-steel-tanks:arizona,2026-06-17 03:48:40
101,Sierra Stone Care,,"Mesa, AZ",,[],,[],,,[],,https://www.thomasnet.com/company/sierra-stone-care-30853327/profile,Thomasnet:stainless-steel-tanks:arizona,2026-06-17 03:48:40
103,Chemresearch Corporation,,"Phoenix, AZ",,[],,[],,,[],,https://www.thomasnet.com/company/chemresearch-corporation-990094/profile,Thomasnet:stainless-steel-tanks:arizona,2026-06-17 03:48:40
104,Desert Precision Mfg INC,,"Tucson, AZ",,[],,[],,,[],,https://www.thomasnet.com/company/desert-precision-mfg-inc-30118759/profile,Thomasnet:stainless-steel-tanks:arizona,2026-06-17 03:48:40
105,Mountain CNC,,"Loveland, CO",,[],,[],,,[],,https://www.thomasnet.com/company/mountain-cnc-1165602/profile,Thomasnet:stainless-steel-tanks:colorado,2026-06-17 03:43:52
106,Maid to Perfection,,"Scottsdale, AZ",,[],,[],,,[],,https://www.thomasnet.com/company/maid-to-perfection-30616048/profile,Thomasnet:stainless-steel-tanks:arizona,2026-06-17 03:48:40
107,Dreamcoat Flooring LLC,,"Gilbert, AZ",,[],,[],,,[],,https://www.thomasnet.com/company/dreamcoat-flooring-llc-30844016/profile,Thomasnet:stainless-steel-tanks:arizona,2026-06-17 03:48:40
108,Neutron Industries INC,,"Phoenix, AZ",,[],,[],,,[],,https://www.thomasnet.com/company/neutron-industries-inc-989683/profile,Thomasnet:stainless-steel-tanks:arizona,2026-06-17 03:48:40
128,General Membership Meetings,,,,"[""TEMA Member""]",Heat Exchanger Manufacturer,"[""Carbon Steel"", ""Stainless Steel""]",,,[],,,TEMA,2026-06-17 03:32:41
130,Prospective applicants,http://www.ras-inc.com/,,,"[""TEMA Member""]",Heat Exchanger Manufacturer,"[""Carbon Steel"", ""Stainless Steel""]",,,[],,,TEMA,2026-06-17 03:41:32
132,[![Alabama Heat Exchangers](https://tema.org/wp-content/uploads/2023/08/AlabamaHeatExchangers_Logo.png)](http://heatexchanger.com/),https://braskinc.com/,,,"[""TEMA Member""]",Heat Exchanger Manufacturer,"[""Carbon Steel"", ""Stainless Steel""]",,,[],,,TEMA,2026-06-17 03:32:41
133,"[![Brask Inc, The Heat Exchanger People](https://tema.org/wp-content/uploads/2025/08/302021923_Design_v4.jpg)](https://braskinc.com/)",https://nikkisoceig.com/,,,"[""TEMA Member""]",Heat Exchanger Manufacturer,"[""Carbon Steel"", ""Stainless Steel""]",,,[],,,TEMA,2026-06-17 03:32:41
134,[![Harris Thermal Transfer Products Logo](https://tema.org/wp-content/uploads/2025/10/Harris-Logo-long-1.png)](https://harristhermal.com/),https://www.htequip.com/,,,"[""TEMA Member""]",Heat Exchanger Manufacturer,"[""Carbon Steel"", ""Stainless Steel""]",,,[],,,TEMA,2026-06-17 03:32:41
135,[![](https://tema.org/wp-content/uploads/2025/12/Metalforms-A-Transtech-Company-Logo-V2.png)](http://www.metalformshx.com/),http://www.josephoat.com/,,,"[""TEMA Member""]",Heat Exchanger Manufacturer,"[""Carbon Steel"", ""Stainless Steel""]",,,[],,,TEMA,2026-06-17 03:32:41
139,"American Exchanger Services, Inc.",https://amexservices.com/,"W Wisconsin St Hartford, WI",,"[""HEI Member""]",Heat Exchange Manufacturer,"[""Carbon Steel"", ""Stainless Steel""]",,262.670.6625,[],,,HEI,2026-06-17 03:41:32
141,"Croll Reynolds Company, Inc.",https://croll.com/,"Six Campus Drive Parsippany, NJ",,"[""HEI Member""]",Heat Exchange Manufacturer,"[""Carbon Steel"", ""Stainless Steel""]",,908.232.4202,[],,,HEI,2026-06-17 03:41:32
142,"Six Campus Drive Parsippany, NJ 7056",https://croll.com/,"W Front Street Florence, NJ",,"[""HEI Member""]",Heat Exchange Manufacturer,"[""Carbon Steel"", ""Stainless Steel""]",,908.232.4202,[],,,HEI,2026-06-17 03:41:32
143,DC Fabricators Inc.,https://www.dcfab.com/,"W Front Street Florence, NJ",,"[""HEI Member""]",Heat Exchange Manufacturer,"[""Carbon Steel"", ""Stainless Steel""]",,609.499.3000,[],,,HEI,2026-06-17 03:41:32
145,Gardner Denver Nash,https://www.nashpumps.com/en-us/,"Simko Blvd Charleroi, PA",,"[""HEI Member""]",Heat Exchange Manufacturer,"[""Carbon Steel"", ""Stainless Steel""]",,724.239.1548,[],,,HEI,2026-06-17 03:41:32
146,"Accounting 200 Simko Blvd Charleroi, PA 15022",https://www.nashpumps.com/en-us/,"Florence Avenue Batavia, NY",,"[""HEI Member""]",Heat Exchange Manufacturer,"[""Carbon Steel"", ""Stainless Steel""]",,724.239.1548,[],,,HEI,2026-06-17 03:41:32
147,Graham Corporation,https://grahamcorp.com/,"Florence Avenue Batavia, NY",,"[""HEI Member""]",Heat Exchange Manufacturer,"[""Carbon Steel"", ""Stainless Steel""]",,585.343.2216,[],,,HEI,2026-06-17 03:41:32
149,Holtec International,https://holtecinternational.com/,"Holtec Blvd Camden, NJ",,"[""HEI Member""]",Heat Exchange Manufacturer,"[""Carbon Steel"", ""Stainless Steel""]",,,[],,,HEI,2026-06-17 03:41:32
151,Kansas City Deaerator Company,http://www.deaerator.com,"Street Stilwell, KS",,"[""HEI Member""]",Heat Exchange Manufacturer,"[""Carbon Steel"", ""Stainless Steel""]",,913.338.2111,[],,,HEI,2026-06-17 03:41:32
153,"Kelvion, Inc.",http://www.kelvion.com,"West Channel Road Catoosa, OK",,"[""HEI Member""]",Heat Exchange Manufacturer,"[""Carbon Steel"", ""Stainless Steel""]",,,[],,,HEI,2026-06-17 03:41:32
154,"Accounting 5202 West Channel Road Catoosa, OK 74015",http://www.kelvion.com,"Cherry Hill, NJ",,"[""HEI Member""]",Heat Exchange Manufacturer,"[""Carbon Steel"", ""Stainless Steel""]",,856.470.1504,[],,,HEI,2026-06-17 03:41:32
155,Maarky Thermal Systems,https://maarky.com,"Cherry Hill, NJ",,"[""HEI Member""]",Heat Exchange Manufacturer,"[""Carbon Steel"", ""Stainless Steel""]",,856.470.1504,[],,,HEI,2026-06-17 03:41:32
157,SPG Dry Cooling,https://spgdrycooling.com/,"Bridgewater, NJ",,"[""HEI Member""]",Heat Exchange Manufacturer,"[""Carbon Steel"", ""Stainless Steel""]",,913.664.7515,[],,,HEI,2026-06-17 03:41:32
159,Sterling Deaerator Company,https://www.sterlingdeaerator.com/,"Cumming, GA",,"[""HEI Member""]",Heat Exchange Manufacturer,"[""Carbon Steel"", ""Stainless Steel""]",,770.205.1969,[],,,HEI,2026-06-17 03:41:32
161,Thermal Engineering Int’l (USA) Inc.,https://www.babcockpower.com/tei/,"La Palma, CA",,"[""HEI Member""]",Heat Exchange Manufacturer,"[""Carbon Steel"", ""Stainless Steel""]",,323.726.0641,[],,,HEI,2026-06-17 03:41:32
162,"Accounts Payable 4 Centerpointe Drive, Suite 400 La Palma, CA 90623",https://www.babcockpower.com/tei/,,,"[""HEI Member""]",Heat Exchange Manufacturer,"[""Carbon Steel"", ""Stainless Steel""]",,323.726.0641,[],,,HEI,2026-06-17 03:41:32
163,Technical Resources,https://www.heatexchange.org/products/tech-sheets/,,,"[""HEI Member""]",Heat Exchange Manufacturer,"[""Carbon Steel"", ""Stainless Steel""]",,,[],,,HEI,2026-06-17 03:32:41
164,Download Tech Sheets,https://www.heatexchange.org/products/tech-sheets/,,,"[""HEI Member""]",Heat Exchange Manufacturer,"[""Carbon Steel"", ""Stainless Steel""]",,,[],,,HEI,2026-06-17 03:41:32
165,Order HEI Standards,https://www.heatexchange.org/resources/standards/,,,"[""HEI Member""]",Heat Exchange Manufacturer,"[""Carbon Steel"", ""Stainless Steel""]",,,[],,,HEI,2026-06-17 03:41:32
166,Shopping Cart,,,,"[""HEI Member""]",Heat Exchange Manufacturer,"[""Carbon Steel"", ""Stainless Steel""]",,,[],,,HEI,2026-06-17 03:32:41
167,Scroll to Top,,,,"[""HEI Member""]",Heat Exchange Manufacturer,"[""Carbon Steel"", ""Stainless Steel""]",,,[],,,HEI,2026-06-17 03:32:41
168,Not Found,,,,"[""AWS Certified""]",Welding Fabricator,[],,,[],,,AWS,2026-06-17 03:32:41
170,[Pema Mermbership Login](https://pemanet.org/),https://pemanet.org/,,,"[""PEMA Member""]",Process Equipment Manufacturer,[],,,[],,,PEMA,2026-06-17 03:32:44
171,Username or Email Address,https://pemanet.org/,,,"[""PEMA Member""]",Process Equipment Manufacturer,[],,,[],,,PEMA,2026-06-17 03:32:44
172,Remember Me,https://pemanet.org/,,,"[""PEMA Member""]",Process Equipment Manufacturer,[],,,[],,,PEMA,2026-06-17 03:32:44
173,← Go to Pemanet,https://pemanet.org/,,,"[""PEMA Member""]",Process Equipment Manufacturer,[],,,[],,,PEMA,2026-06-17 03:41:44
177,"CEMA Members celebrating Anniversary’s, Awards, New Facilities, and Expansions, etc.",,,,"[""CEMA Member""]",Conveyor Equipment Manufacturer,[],kim@cemanet.org,,[],,,CEMA,2026-06-17 03:35:38
178,Contact Kimberly MacLaren to see how you can attend our **[Annual Meeting](https://cemanet.org/cema-annual-meeting-2020/).**,https://conveyorequipcaptivate.growthzonecms.com/,,,"[""CEMA Member""]",Conveyor Equipment Manufacturer,[],kim@cemanet.org,,[],,,CEMA,2026-06-17 03:35:38
179,[CEMA Members in the NEWs – 2019 RECAP](https://cemanet.org/wp-content/uploads/2020/01/CEMA-Members-in-the-NEWs-2019-RECAP.pdf)**,https://conveyorequipcaptivate.growthzonecms.com/,,,"[""CEMA Member""]",Conveyor Equipment Manufacturer,[],kim@cemanet.org,,[],,,CEMA,2026-06-17 03:35:38
180,"_CEMA Member’s if you want your news in the CEMA Newsletter, send__by the 15th of each month_ to   _**kim@cemanet.org**_",https://conveyorequipcaptivate.growthzonecms.com/,,,"[""CEMA Member""]",Conveyor Equipment Manufacturer,[],,,[],,,CEMA,2026-06-17 03:35:38
185,"Spartan, Inc.",,"Bakersfield, CA",,"[""STI/SPFA Member""]",Steel Tank / Pipe Fabricator,"[""Carbon Steel"", ""Steel""]",,661-327-1205,[],,,STI-SPFA,2026-06-17 03:41:58
187,"Bakersfield, CA 93301-2137",http://spartaninc.net/,,,"[""STI/SPFA Member""]",Steel Tank / Pipe Fabricator,"[""Carbon Steel"", ""Steel""]",,661-327-1205,[],,,STI-SPFA,2026-06-17 03:41:58
188,STI Licensed Shop-Fabricated Tank Membership,https://assets-002.noviams.com/novi-file-uploads/stispfa/members/165-years_vector_final-1.png,"Dubuque, IA",,"[""STI/SPFA Member""]",Steel Tank / Pipe Fabricator,"[""Carbon Steel"", ""Steel""]",,,[],,,STI-SPFA,2026-06-17 03:41:58
190,Morrison Bros. Co.,,"Dubuque, IA",,"[""STI/SPFA Member""]",Steel Tank / Pipe Fabricator,"[""Carbon Steel"", ""Steel""]",,563-583-5701,[],,,STI-SPFA,2026-06-17 03:41:58
192,"Dubuque, IA 52001-2378",https://www.morbros.com/,,,"[""STI/SPFA Member""]",Steel Tank / Pipe Fabricator,"[""Carbon Steel"", ""Steel""]",,563-583-5701,[],,,STI-SPFA,2026-06-17 03:41:58
193,Dennis Eryou,,,,"[""STI/SPFA Member""]",Steel Tank / Pipe Fabricator,"[""Carbon Steel"", ""Steel""]",,,[],,,STI-SPFA,2026-06-17 03:33:17
194,Eryou Engineering Inc.,,,,"[""STI/SPFA Member""]",Steel Tank / Pipe Fabricator,"[""Carbon Steel"", ""Steel""]",,,[],,,STI-SPFA,2026-06-17 03:33:17
196,Industry Associate,https://assets-002.noviams.com/novi-file-uploads/stispfa/members/engine-and-compressor-logo---6524-1.jpg,"Waller, TX",,"[""STI/SPFA Member""]",Steel Tank / Pipe Fabricator,"[""Carbon Steel"", ""Steel""]",,,[],,,STI-SPFA,2026-06-17 03:41:58
197,Garzo Inc dba Engine & Compressor Accessories,,"Waller, TX",,"[""STI/SPFA Member""]",Steel Tank / Pipe Fabricator,"[""Carbon Steel"", ""Steel""]",,713-466-8679,[],,,STI-SPFA,2026-06-17 03:41:58
199,"Waller, TX 77484-8173",https://www.daytank.com/,,,"[""STI/SPFA Member""]",Steel Tank / Pipe Fabricator,"[""Carbon Steel"", ""Steel""]",,713-466-8679,[],,,STI-SPFA,2026-06-17 03:41:58
200,Dennis York,,,,"[""STI/SPFA Member""]",Steel Tank / Pipe Fabricator,"[""Carbon Steel"", ""Steel""]",,951-903-8002,[],,,STI-SPFA,2026-06-17 03:41:58
202,"Long Industries, Inc.",,"Buffalo, TX",,"[""STI/SPFA Member""]",Steel Tank / Pipe Fabricator,"[""Carbon Steel"", ""Steel""]",,903-389-3263,[],,,STI-SPFA,2026-06-17 03:41:58
204,"Buffalo, TX 75831-6858",https://longindustries.us/,,,"[""STI/SPFA Member""]",Steel Tank / Pipe Fabricator,"[""Carbon Steel"", ""Steel""]",,903-389-3263,[],,,STI-SPFA,2026-06-17 03:41:58
206,Tank Solutions (Lesweek Pty Ltd.) Fibre,,,,"[""STI/SPFA Member""]",Steel Tank / Pipe Fabricator,"[""Carbon Steel"", ""Steel""]",,,[],,,STI-SPFA,2026-06-17 03:33:17
208,"Tomago, New South Wales 2322",https://www.tanksolutions.com.au/,,,"[""STI/SPFA Member""]",Steel Tank / Pipe Fabricator,"[""Carbon Steel"", ""Steel""]",,6124964827,[],,,STI-SPFA,2026-06-17 03:41:58
