id,company_name,website_url,headquarters_location,facility_size_sqft,certifications_held,primary_business_type,materials_handled,contact_email,contact_phone,key_personnel,year_established,thomasnet_profile_url,data_source,last_updated,completeness_status,confidence_level,data_provenance
42,Advance Tank & Construction,,"Joliet, IL",,[],,[],,,[],,https://www.thomasnet.com/company/advance-tank-construction-1168060/profile,Thomasnet:asme-code-pressure-vessels:illinois,2026-06-17 04:03:15,incomplete,partial,{}
43,"Arc Controls, Inc",,"Mobile, AL",,[],,[],,,[],,https://www.thomasnet.com/company/arc-controls-inc-890440/profile,Thomasnet:asme-code-pressure-vessels:alabama,2026-06-17 03:48:40,incomplete,partial,{}
44,"Sue-Jac, Inc",,"Decatur, AL",,[],,[],,,[],,https://www.thomasnet.com/company/sue-jac-inc-883838/profile,Thomasnet:asme-code-pressure-vessels:alabama,2026-06-17 03:48:40,incomplete,partial,{}
45,Addison Fabricators INC,,"Addison, AL",,[],,[],,,[],,https://www.thomasnet.com/company/addison-fabricators-inc-1284025/profile,Thomasnet:asme-code-pressure-vessels:alabama,2026-06-17 03:48:40,incomplete,partial,{}
46,Alabama Heat Exchangers INC,,"Theodore, AL",,[],,[],,,[],,https://www.thomasnet.com/company/alabama-heat-exchangers-inc-889572/profile,Thomasnet:asme-code-pressure-vessels:alabama,2026-06-17 03:48:40,incomplete,partial,{}
47,Hanwha Cimarron,https://hanwhacimarron.com,"Huntsville, AL",,[],Energy Storage Solutions,"[""Fuel"", ""Gas"", ""Plastics"", ""Powders"", ""Sludges"", ""Slurries""]",,405-376-2400,[],,https://www.thomasnet.com/company/hanwha-cimarron-30944047/profile,Thomasnet:asme-code-pressure-vessels:alabama,2026-06-17 04:48:20,verified,partial,"{""company_name"": {""source"": ""Thomasnet:asme-code-pressure-vessels:alabama"", ""date"": ""2026-06-17""}, ""website_url"": {""source"": ""Thomasnet:asme-code-pressure-vessels:alabama"", ""date"": ""2026-06-17""}, ""headquarters_location"": {""source"": ""Thomasnet:asme-code-pressure-vessels:alabama"", ""date"": ""2026-06-17""}, ""facility_size_sqft"": {""source"": ""Thomasnet:asme-code-pressure-vessels:alabama"", ""date"": ""2026-06-17""}, ""primary_business_type"": {""source"": ""Thomasnet:asme-code-pressure-vessels:alabama"", ""date"": ""2026-06-17""}, ""contact_email"": {""source"": ""Thomasnet:asme-code-pressure-vessels:alabama"", ""date"": ""2026-06-17""}, ""contact_phone"": {""source"": ""Thomasnet:asme-code-pressure-vessels:alabama"", ""date"": ""2026-06-17""}, ""year_established"": {""source"": ""Thomasnet:asme-code-pressure-vessels:alabama"", ""date"": ""2026-06-17""}, ""thomasnet_profile_url"": {""source"": ""Thomasnet:asme-code-pressure-vessels:alabama"", ""date"": ""2026-06-17""}, ""materials_handled"": {""source"": ""Thomasnet:asme-code-pressure-vessels:alabama"", ""date"": ""2026-06-17""}}"
48,Blake Pendleton INC,,"Macon, GA",,[],,[],,,[],,https://www.thomasnet.com/company/blake-pendleton-inc-914111/profile,Thomasnet:asme-code-pressure-vessels:georgia,2026-06-17 03:43:28,incomplete,partial,{}
49,"Feldmeier Equipment, Inc",,"Montgomery, AL",,[],,[],,,[],,https://www.thomasnet.com/company/feldmeier-equipment-inc-1236200/profile,Thomasnet:asme-code-pressure-vessels:alabama,2026-06-17 03:48:40,incomplete,partial,{}
50,Lape Industrial Fiberglass INC,,"Grand Bay, AL",,[],,[],,,[],,https://www.thomasnet.com/company/lape-industrial-fiberglass-inc-10083368/profile,Thomasnet:asme-code-pressure-vessels:alabama,2026-06-17 03:48:40,incomplete,partial,{}
52,"Hubbell Power Systems, Inc",,"Leeds, AL",,[],,[],,,[],,https://www.thomasnet.com/company/hubbell-power-systems-inc-22875/profile,Thomasnet:asme-code-pressure-vessels:alabama,2026-06-17 03:48:40,incomplete,partial,{}
53,Rolls-Royce Corp,,"Huntsville, AL",,[],,[],,,[],,https://www.thomasnet.com/company/rolls-royce-corp-30080472/profile,Thomasnet:asme-code-pressure-vessels:alabama,2026-06-17 03:48:40,incomplete,partial,{}
54,Jti Companies INC,,"Birmingham, AL",,[],,[],,,[],,https://www.thomasnet.com/company/jti-companies-inc-10070455/profile,Thomasnet:asme-code-pressure-vessels:alabama,2026-06-17 03:48:40,incomplete,partial,{}
55,Normco INC,,"Prichard, AL",,[],,[],,,[],,https://www.thomasnet.com/company/normco-inc-888648/profile,Thomasnet:asme-code-pressure-vessels:alabama,2026-06-17 03:48:40,incomplete,partial,{}
56,"Hubbell, Inc",,"West Chester, PA",,[],,[],,,[],,https://www.thomasnet.com/company/hubbell-inc-1092735/profile,Thomasnet:asme-code-pressure-vessels:connecticut,2026-06-17 03:43:22,incomplete,partial,{}
57,E & C Chemicals Inc,,"Carrollton, GA",,[],,[],,,[],,https://www.thomasnet.com/company/e-c-chemicals-inc-912491/profile,Thomasnet:frp-tanks:georgia,2026-06-17 03:44:12,incomplete,partial,{}
58,Fastenal,,"Lebanon, KY",,[],,[],,,[],,https://www.thomasnet.com/company/fastenal-10061000/profile,Thomasnet:frp-tanks:kentucky,2026-06-17 04:05:33,incomplete,partial,{}
59,"Harcros Chemicals, Inc",,"Kansas City, KS",,[],,[],,,[],,https://www.thomasnet.com/company/harcros-chemicals-inc-398509/profile,Thomasnet:frp-tanks:kansas,2026-06-17 04:05:29,incomplete,partial,{}
60,Research Products Corp,,"Theodore, AL",,[],,[],,,[],,https://www.thomasnet.com/company/research-products-corp-878150/profile,Thomasnet:frp-tanks:alabama,2026-06-17 03:48:40,incomplete,partial,{}
61,Applied Industrial Technologies,,"Russellville, KY",,[],,[],,,[],,https://www.thomasnet.com/company/applied-industrial-technologies-1275404/profile,Thomasnet:frp-tanks:kentucky,2026-06-17 04:05:33,incomplete,partial,{}
62,Kemper Industries,,"Daphne, AL",,[],,[],,,[],,https://www.thomasnet.com/company/kemper-industries-884892/profile,Thomasnet:frp-tanks:alabama,2026-06-17 03:48:40,incomplete,partial,{}
63,Gaylord Chemical,,"Slidell, LA",,[],,[],,,[],,https://www.thomasnet.com/company/gaylord-chemical-1203321/profile,Thomasnet:frp-tanks:louisiana,2026-06-17 04:05:21,incomplete,partial,{}
65,Univar Solutions Inc,,"Louisville, KY",,[],,[],,,[],,https://www.thomasnet.com/company/univar-solutions-inc-30771176/profile,Thomasnet:frp-tanks:kentucky,2026-06-17 04:05:33,incomplete,partial,{}
66,BASF Corporation,,"Vidalia, LA",,[],,[],,,[],,https://www.thomasnet.com/company/basf-corporation-169617/profile,Thomasnet:frp-tanks:louisiana,2026-06-17 04:05:21,incomplete,partial,{}
67,Research Solutions Group INC,,"Pelham, AL",,[],,[],,,[],,https://www.thomasnet.com/company/research-solutions-group-inc-30728875/profile,Thomasnet:frp-tanks:alabama,2026-06-17 03:48:40,incomplete,partial,{}
68,Ati,,"Lebanon, KY",,[],,[],,,[],,https://www.thomasnet.com/company/ati-10038081/profile,Thomasnet:frp-tanks:kentucky,2026-06-17 04:05:33,incomplete,partial,{}
69,U S Amines Limited,,"Axis, AL",,[],,[],,,[],,https://www.thomasnet.com/company/u-s-amines-limited-30167673/profile,Thomasnet:frp-tanks:alabama,2026-06-17 03:48:40,incomplete,partial,{}
70,Airgas,,"Owensboro, KY",,[],,[],,,[],,https://www.thomasnet.com/company/airgas-1092912/profile,Thomasnet:frp-tanks:kentucky,2026-06-17 04:05:33,incomplete,partial,{}
71,Ineos Phenol,,"Theodore, AL",,[],,[],,,[],,https://www.thomasnet.com/company/ineos-phenol-30116730/profile,Thomasnet:frp-tanks:alabama,2026-06-17 03:48:40,incomplete,partial,{}
72,"Drummond, Ltd",,"Gadsden, AL",,[],,[],,,[],,https://www.thomasnet.com/company/etowah-chemical-sales-service-co-937829/profile,Thomasnet:frp-tanks:alabama,2026-06-17 03:48:40,incomplete,partial,{}
74,Laysan Bio INC,,"Arab, AL",,[],,[],,,[],,https://www.thomasnet.com/company/laysan-bio-inc-30736850/profile,Thomasnet:frp-tanks:alabama,2026-06-17 03:48:40,incomplete,partial,{}
75,Industrial Chemicals INC,,"Vestavia Hills, AL",,[],,[],,,[],,https://www.thomasnet.com/company/industrial-chemicals-inc-879685/profile,Thomasnet:frp-tanks:alabama,2026-06-17 03:48:40,incomplete,partial,{}
76,Stutton Corporation,,"Lincoln, AL",,[],,[],,,[],,https://www.thomasnet.com/company/stutton-corporation-1201292/profile,Thomasnet:frp-tanks:alabama,2026-06-17 03:48:40,incomplete,partial,{}
77,Umicore Technical Materials - Contact Materials Business Unit,,"Arab, AL",,[],,[],,,[],,https://www.thomasnet.com/company/umicore-technical-materials-contact-materials-business-unit-20070389/profile,Thomasnet:frp-tanks:alabama,2026-06-17 03:48:40,incomplete,partial,{}
78,Johnstone Supply,,"Wichita, KS",,[],,[],,,[],,https://www.thomasnet.com/company/johnstone-supply-1315321/profile,Thomasnet:frp-tanks:kansas,2026-06-17 04:05:29,incomplete,partial,{}
79,"INVENTURE RENEWABLES, INC",,"Tuscaloosa, AL",,[],,[],,,[],,https://www.thomasnet.com/company/inventure-renewables-inc-30827841/profile,Thomasnet:frp-tanks:alabama,2026-06-17 03:48:40,incomplete,partial,{}
80,Sure Chemical INC,,"Springville, AL",,[],,[],,,[],,https://www.thomasnet.com/company/sure-chemical-inc-30754704/profile,Thomasnet:frp-tanks:alabama,2026-06-17 03:48:40,incomplete,partial,{}
81,Grainger Industrial Supply,,"Cedar Rapids, IA",,[],,[],,,[],,https://www.thomasnet.com/company/grainger-industrial-supply-1301046/profile,Thomasnet:frp-tanks:iowa,2026-06-17 04:05:21,incomplete,partial,{}
82,Taricco Corporation,,"Long Beach, CA",,[],,[],,,[],,https://www.thomasnet.com/company/taricco-corporation-10056179/profile,Thomasnet:asme-code-pressure-vessels:idaho,2026-06-17 04:02:59,incomplete,partial,{}
83,Tru-Stop Inc,,"Tempe, AZ",,[],,[],,,[],,https://www.thomasnet.com/company/tru-stop-inc-30167601/profile,Thomasnet:asme-code-pressure-vessels:arizona,2026-06-17 03:48:40,incomplete,partial,{}
84,Matrix Service Co,,"Alton, IL",,[],,[],,,[],,https://www.thomasnet.com/company/matrix-service-co-1139234/profile,Thomasnet:asme-code-pressure-vessels:illinois,2026-06-17 04:03:15,incomplete,partial,{}
85,MMI Tank & Industrial Services,,"Phoenix, AZ",,[],,[],,,[],,https://www.thomasnet.com/company/mmi-tank-industrial-services-30846975/profile,Thomasnet:asme-code-pressure-vessels:arizona,2026-06-17 03:48:40,incomplete,partial,{}
86,Samuel Pressure Vessel Group Inc,,"Tucson, AZ",,[],,[],,,[],,https://www.thomasnet.com/company/samuel-pressure-vessel-group-inc-10036624/profile,Thomasnet:asme-code-pressure-vessels:arizona,2026-06-17 03:48:40,incomplete,partial,{}
87,Company Overview,,"Elizabethtown, KY",,[],,[],,,[],,https://www.thomasnet.com/company/dynatex-30116637/profile,Thomasnet:frp-tanks:kentucky,2026-06-17 04:05:33,incomplete,partial,{}
88,"Entegris, Inc",,"Gainesville, FL",,[],,[],,,[],,https://www.thomasnet.com/company/entegris-inc-10014935/profile,Thomasnet:asme-code-pressure-vessels:florida,2026-06-17 03:43:30,incomplete,partial,{}
89,"Xylem, Inc",,"Carterville, IL",,[],,[],,,[],,https://www.thomasnet.com/company/xylem-inc-30728450/profile,Thomasnet:asme-code-pressure-vessels:illinois,2026-06-17 04:03:15,incomplete,partial,{}
90,"Manufacturers Distributor, Inc",,"Odessa, FL",,[],,[],,,[],,https://www.thomasnet.com/company/manufacturers-distributor-inc-20103174/profile,Thomasnet:asme-code-pressure-vessels:florida,2026-06-17 03:43:30,incomplete,partial,{}
91,Prevco Subsea LLC,,"Fountain Hills, AZ",,[],,[],,,[],,https://www.thomasnet.com/company/prevco-subsea-llc-10077830/profile,Thomasnet:asme-code-pressure-vessels:arizona,2026-06-17 03:48:40,incomplete,partial,{}
92,Puretec Industrial Water,,"Gilbert, AZ",,[],,[],,,[],,https://www.thomasnet.com/company/puretec-industrial-water-315045/profile,Thomasnet:asme-code-pressure-vessels:arizona,2026-06-17 03:48:40,incomplete,partial,{}
93,Vic S Welding CO LLC,,"El Mirage, AZ",,[],,[],,,[],,https://www.thomasnet.com/company/vic-s-welding-co-llc-30823698/profile,Thomasnet:asme-code-pressure-vessels:arizona,2026-06-17 03:48:40,incomplete,partial,{}
94,Axian Technology,,"Phoenix, AZ",,[],,[],,,[],,https://www.thomasnet.com/company/axian-technology-707797/profile,Thomasnet:stainless-steel-tanks:arizona,2026-06-17 03:48:40,incomplete,partial,{}
95,Commercial Electro Plating Inc,,"Fresno, CA",,[],,[],,,[],,https://www.thomasnet.com/company/commercial-electro-plating-inc-496705/profile,Thomasnet:stainless-steel-tanks:arizona,2026-06-17 03:48:40,incomplete,partial,{}
96,Wal-Tek Industries Inc,,"Phoenix, AZ",,[],,[],,,[],,https://www.thomasnet.com/company/wal-tek-industries-inc-30954178/profile,Thomasnet:stainless-steel-tanks:arizona,2026-06-17 03:48:40,incomplete,partial,{}
97,Gold Tech Industries,,"Tempe, AZ",,[],,[],,,[],,https://www.thomasnet.com/company/gold-tech-industries-708410/profile,Thomasnet:stainless-steel-tanks:arizona,2026-06-17 03:48:40,incomplete,partial,{}
98,Completely Custom Coatings LLC,,"Prescott Valley, AZ",,[],,[],,,[],,https://www.thomasnet.com/company/completely-custom-coatings-llc-30982945/profile,Thomasnet:stainless-steel-tanks:colorado,2026-06-17 03:43:52,incomplete,partial,{}
99,"Curbell Plastics, Inc",,"Lithia Springs, GA",,[],,[],,,[],,https://www.thomasnet.com/company/curbell-plastics-inc-1053117/profile,Thomasnet:stainless-steel-tanks:georgia,2026-06-17 03:43:54,incomplete,partial,{}
100,Js Metal Polish Blasting,,"Lake Havasu City, AZ",,[],,[],,,[],,https://www.thomasnet.com/company/js-metal-polish-blasting-1168991/profile,Thomasnet:stainless-steel-tanks:arizona,2026-06-17 03:48:40,incomplete,partial,{}
101,Sierra Stone Care,,"Mesa, AZ",,[],,[],,,[],,https://www.thomasnet.com/company/sierra-stone-care-30853327/profile,Thomasnet:stainless-steel-tanks:arizona,2026-06-17 03:48:40,incomplete,partial,{}
103,Chemresearch Corporation,,"Phoenix, AZ",,[],,[],,,[],,https://www.thomasnet.com/company/chemresearch-corporation-990094/profile,Thomasnet:stainless-steel-tanks:arizona,2026-06-17 03:48:40,incomplete,partial,{}
104,Desert Precision Mfg INC,,"Tucson, AZ",,[],,[],,,[],,https://www.thomasnet.com/company/desert-precision-mfg-inc-30118759/profile,Thomasnet:stainless-steel-tanks:arizona,2026-06-17 03:48:40,incomplete,partial,{}
105,Mountain CNC,,"Loveland, CO",,[],,[],,,[],,https://www.thomasnet.com/company/mountain-cnc-1165602/profile,Thomasnet:stainless-steel-tanks:kansas,2026-06-17 04:04:52,incomplete,partial,{}
106,Maid to Perfection,,"Scottsdale, AZ",,[],,[],,,[],,https://www.thomasnet.com/company/maid-to-perfection-30616048/profile,Thomasnet:stainless-steel-tanks:arizona,2026-06-17 03:48:40,incomplete,partial,{}
107,Dreamcoat Flooring LLC,,"Gilbert, AZ",,[],,[],,,[],,https://www.thomasnet.com/company/dreamcoat-flooring-llc-30844016/profile,Thomasnet:stainless-steel-tanks:arizona,2026-06-17 03:48:40,incomplete,partial,{}
108,Neutron Industries INC,,"Phoenix, AZ",,[],,[],,,[],,https://www.thomasnet.com/company/neutron-industries-inc-989683/profile,Thomasnet:stainless-steel-tanks:arizona,2026-06-17 03:48:40,incomplete,partial,{}
128,General Membership Meetings,,,,"[""TEMA Member""]",Heat Exchanger Manufacturer,"[""Carbon Steel"", ""Stainless Steel""]",,,[],,,TEMA,2026-06-17 05:14:22,incomplete,partial,"{""company_name"": {""source"": ""TEMA"", ""date"": ""2026-06-17""}, ""primary_business_type"": {""source"": ""TEMA"", ""date"": ""2026-06-17""}, ""certifications_held"": {""source"": ""TEMA"", ""date"": ""2026-06-17""}, ""materials_handled"": {""source"": ""TEMA"", ""date"": ""2026-06-17""}}"
130,Prospective applicants,http://www.ras-inc.com/,"Hartford, WI",,"[""TEMA Member""]",Heat Exchanger Manufacturer,"[""Carbon Steel"", ""Stainless Steel""]",,,[],1983,,TEMA,2026-06-17 05:14:22,incomplete,partial,"{""company_name"": {""source"": ""TEMA"", ""date"": ""2026-06-17""}, ""website_url"": {""source"": ""TEMA"", ""date"": ""2026-06-17""}, ""primary_business_type"": {""source"": ""TEMA"", ""date"": ""2026-06-17""}, ""certifications_held"": {""source"": ""TEMA"", ""date"": ""2026-06-17""}, ""materials_handled"": {""source"": ""TEMA"", ""date"": ""2026-06-17""}}"
