id,company_name,website_url,headquarters_location,facility_size_sqft,certifications_held,primary_business_type,materials_handled,contact_email,contact_phone,key_personnel,year_established,thomasnet_profile_url,data_source,last_updated,completeness_status,confidence_level,data_provenance
134,Harris Thermal Transfer Products Logo,https://www.htequip.com/,Americas,,"[""TEMA Member""]",Heat Exchanger Manufacturer,"[""Carbon Steel"", ""Stainless Steel""]",,,[],1974,,TEMA,2026-06-17 04:52:04,verified,verified,"{""company_name"": {""source"": ""TEMA"", ""date"": ""2026-06-17""}, ""website_url"": {""source"": ""TEMA"", ""date"": ""2026-06-17""}, ""headquarters_location"": {""source"": ""TEMA"", ""date"": ""2026-06-17""}, ""facility_size_sqft"": {""source"": ""TEMA"", ""date"": ""2026-06-17""}, ""primary_business_type"": {""source"": ""TEMA"", ""date"": ""2026-06-17""}, ""contact_email"": {""source"": ""TEMA"", ""date"": ""2026-06-17""}, ""contact_phone"": {""source"": ""TEMA"", ""date"": ""2026-06-17""}, ""year_established"": {""source"": ""TEMA"", ""date"": ""2026-06-17""}, ""certifications_held"": {""source"": ""TEMA"", ""date"": ""2026-06-17""}, ""materials_handled"": {""source"": ""TEMA"", ""date"": ""2026-06-17""}}"
135,[![](https://tema.org/wp-content/uploads/2025/12/Metalforms-A-Transtech-Company-Logo-V2.png)](http://www.metalformshx.com/),http://www.josephoat.com/,New Jersey,,"[""ASME"", ""DOE"", ""NUPIC"", ""TEMA Member""]",Heat Exchanger Manufacturer,"[""Carbon Steel"", ""Chemicals"", ""Columns"", ""Corrosion resistant alloys"", ""Heat exchangers"", ""Nuclear materials"", ""Petrochemicals"", ""Pressure vessels"", ""Radioactive materials"", ""Radioactive waste"", ""Reactors"", ""Stainless Steel""]",,16648263683,"[""Not specified""]",1966,,TEMA,2026-06-17 04:43:43,verified,verified,"{""company_name"": {""source"": ""TEMA"", ""date"": ""2026-06-17""}, ""website_url"": {""source"": ""TEMA"", ""date"": ""2026-06-17""}, ""headquarters_location"": {""source"": ""TEMA"", ""date"": ""2026-06-17""}, ""facility_size_sqft"": {""source"": ""TEMA"", ""date"": ""2026-06-17""}, ""primary_business_type"": {""source"": ""TEMA"", ""date"": ""2026-06-17""}, ""contact_email"": {""source"": ""TEMA"", ""date"": ""2026-06-17""}, ""contact_phone"": {""source"": ""TEMA"", ""date"": ""2026-06-17""}, ""year_established"": {""source"": ""TEMA"", ""date"": ""2026-06-17""}, ""certifications_held"": {""source"": ""TEMA"", ""date"": ""2026-06-17""}, ""materials_handled"": {""source"": ""TEMA"", ""date"": ""2026-06-17""}, ""key_personnel"": {""source"": ""TEMA"", ""date"": ""2026-06-17""}}"
139,"American Exchanger Services, Inc",https://amexservices.com/,"W Wisconsin St Hartford, WI",,"[""HEI Member""]",Heat Exchange Manufacturer,"[""Carbon Steel"", ""Stainless Steel""]",,262.670.6625,[],1917,,HEI,2026-06-17 05:14:31,verified,verified,"{""company_name"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""website_url"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""headquarters_location"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""primary_business_type"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""contact_phone"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""certifications_held"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""materials_handled"": {""source"": ""HEI"", ""date"": ""2026-06-17""}}"
141,"Croll Reynolds Company, Inc",https://croll.com/,"Six Campus Drive Parsippany, NJ",,"[""HEI Member""]",Heat Exchange Manufacturer,"[""Carbon Steel"", ""Stainless Steel""]",,908.232.4202,[],1917,,HEI,2026-06-17 05:14:31,verified,verified,"{""company_name"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""website_url"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""headquarters_location"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""primary_business_type"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""contact_phone"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""certifications_held"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""materials_handled"": {""source"": ""HEI"", ""date"": ""2026-06-17""}}"
142,"Six Campus Drive Parsippany, NJ 7056",https://croll.com/,"W Front Street Florence, NJ",,"[""HEI Member""]",Heat Exchange Manufacturer,"[""Carbon Steel"", ""Stainless Steel""]",,908.232.4202,[],1917,,HEI,2026-06-17 05:14:31,verified,verified,"{""company_name"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""website_url"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""headquarters_location"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""primary_business_type"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""contact_phone"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""certifications_held"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""materials_handled"": {""source"": ""HEI"", ""date"": ""2026-06-17""}}"
143,DC Fabricators Inc,https://www.dcfab.com/,"W Front Street Florence, NJ",,"[""HEI Member""]",Heat Exchange Manufacturer,"[""Carbon Steel"", ""Stainless Steel""]",,609.499.3000,[],,,HEI,2026-06-17 05:14:31,verified,verified,"{""company_name"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""website_url"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""headquarters_location"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""primary_business_type"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""contact_phone"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""certifications_held"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""materials_handled"": {""source"": ""HEI"", ""date"": ""2026-06-17""}}"
145,Gardner Denver Nash,https://www.nashpumps.com/en-us/,"Simko Blvd Charleroi, PA",,"[""HEI Member""]",Heat Exchange Manufacturer,"[""Carbon Steel"", ""Stainless Steel""]",,724.239.1548,[],,,HEI,2026-06-17 05:14:31,verified,verified,"{""company_name"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""website_url"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""headquarters_location"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""primary_business_type"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""contact_phone"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""certifications_held"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""materials_handled"": {""source"": ""HEI"", ""date"": ""2026-06-17""}}"
146,"Accounting 200 Simko Blvd Charleroi, PA 15022",https://www.nashpumps.com/en-us/,"Florence Avenue Batavia, NY",,"[""HEI Member""]",Heat Exchange Manufacturer,"[""Carbon Steel"", ""Stainless Steel""]",,724.239.1548,[],1989,,HEI,2026-06-17 05:14:31,verified,verified,"{""company_name"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""website_url"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""headquarters_location"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""primary_business_type"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""contact_phone"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""certifications_held"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""materials_handled"": {""source"": ""HEI"", ""date"": ""2026-06-17""}}"
147,Graham Corporation,https://grahamcorp.com/,"Florence Avenue Batavia, NY",,"[""HEI Member""]",Heat Exchange Manufacturer,"[""Carbon Steel"", ""Stainless Steel""]",,585.343.2216,[],,,HEI,2026-06-17 05:14:31,verified,verified,"{""company_name"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""website_url"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""headquarters_location"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""primary_business_type"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""contact_phone"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""certifications_held"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""materials_handled"": {""source"": ""HEI"", ""date"": ""2026-06-17""}}"
149,Holtec International,https://holtecinternational.com/,"Holtec Blvd Camden, NJ",,"[""HEI Member""]",Heat Exchange Manufacturer,"[""Carbon Steel"", ""Stainless Steel""]",,,[],1989,,HEI,2026-06-17 05:14:31,verified,verified,"{""company_name"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""website_url"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""headquarters_location"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""primary_business_type"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""certifications_held"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""materials_handled"": {""source"": ""HEI"", ""date"": ""2026-06-17""}}"
151,Kansas City Deaerator Company,http://www.deaerator.com,"Street Stilwell, KS",,"[""HEI Member""]",Heat Exchange Manufacturer,"[""Carbon Steel"", ""Stainless Steel""]",,913.338.2111,[],1989,,HEI,2026-06-17 05:14:31,verified,verified,"{""company_name"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""website_url"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""headquarters_location"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""primary_business_type"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""contact_phone"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""certifications_held"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""materials_handled"": {""source"": ""HEI"", ""date"": ""2026-06-17""}}"
153,"Kelvion, Inc",http://www.kelvion.com,"West Channel Road Catoosa, OK",,"[""HEI Member""]",Heat Exchange Manufacturer,"[""Carbon Steel"", ""Stainless Steel""]",,7673981339,[],,,HEI,2026-06-17 05:14:31,verified,verified,"{""company_name"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""website_url"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""headquarters_location"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""primary_business_type"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""certifications_held"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""materials_handled"": {""source"": ""HEI"", ""date"": ""2026-06-17""}}"
154,"Accounting 5202 West Channel Road Catoosa, OK 74015",http://www.kelvion.com,"Cherry Hill, NJ",,"[""HEI Member""]",Heat Exchange Manufacturer,"[""Carbon Steel"", ""Stainless Steel""]",,856.470.1504,[],1987,,HEI,2026-06-17 05:14:31,verified,verified,"{""company_name"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""website_url"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""headquarters_location"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""primary_business_type"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""contact_phone"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""certifications_held"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""materials_handled"": {""source"": ""HEI"", ""date"": ""2026-06-17""}}"
155,Maarky Thermal Systems,https://maarky.com,"Cherry Hill, NJ",,"[""HEI Member""]",Heat Exchange Manufacturer,"[""Carbon Steel"", ""Stainless Steel""]",JPasquariello@BabcockPower.com,856.470.1504,[],,,HEI,2026-06-17 05:14:31,verified,verified,"{""company_name"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""website_url"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""headquarters_location"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""primary_business_type"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""contact_phone"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""certifications_held"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""materials_handled"": {""source"": ""HEI"", ""date"": ""2026-06-17""}}"
157,SPG Dry Cooling,https://spgdrycooling.com/,"Bridgewater, NJ",,"[""HEI Member""]",Heat Exchange Manufacturer,"[""Carbon Steel"", ""Stainless Steel""]",JPasquariello@BabcockPower.com,913.664.7515,[],,,HEI,2026-06-17 05:14:31,verified,verified,"{""company_name"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""website_url"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""headquarters_location"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""primary_business_type"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""contact_phone"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""certifications_held"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""materials_handled"": {""source"": ""HEI"", ""date"": ""2026-06-17""}}"
159,Sterling Deaerator Company,https://www.sterlingdeaerator.com/,"Cumming, GA",,"[""HEI Member""]",Heat Exchange Manufacturer,"[""Carbon Steel"", ""Stainless Steel""]",,770.205.1969,[],1987,,HEI,2026-06-17 05:14:31,verified,verified,"{""company_name"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""website_url"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""headquarters_location"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""primary_business_type"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""contact_phone"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""certifications_held"": {""source"": ""HEI"", ""date"": ""2026-06-17""}, ""materials_handled"": {""source"": ""HEI"", ""date"": ""2026-06-17""}}"
